,id,name,host_id,host_name,hosts_time_as_user_years,hosts_time_as_host_years,host_location,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,reviews_per_month
10,75411,Sagrada Familia Clot Patio - Wifi/Private/Clean,400154,Mireia,15.0,15.0,"Vilassar de Mar, Spain",t,10.0,t,t,el Clot,Sant Martí,41.40682,2.18649,Entire rental unit,Entire home/apt,3,1.0,3.0,3.0,"[""Hot water kettle"", ""Private entrance"", ""Oven"", ""Dishes and silverware"", ""Coffee"", ""Crib - available upon request"", ""Heating"", ""Laundromat nearby"", ""Stove"", ""Dining table"", ""Bed linens"", ""Hangers"", ""Patio or balcony"", ""Kitchen"", ""Hair dryer"", ""TV with standard cable"", ""Toaster"", ""Paid parking lot off premises"", ""Bathtub"", ""Microwave"", ""Drying rack for clothing"", ""Wifi"", ""Coffee maker"", ""Cooking basics"", ""Backyard"", ""Hot water"", ""Refrigerator"", ""Air conditioning"", ""Standalone high chair - available upon request"", ""Shower gel"", ""Host greets you"", ""Iron"", ""Essentials"", ""Outdoor furniture"", ""Bidet""]",179.67,3.0,330.0,330.0,3.7,330.0,4,20,50,105,151,28,1,25,168,30185.0,2012-01-07,2026-06-16,4.55,4.64,4.48,4.9,4.91,4.79,4.43,Spain - National registration number<br />ESFCTU00000807300091781600000000000000000HUTB-0000835<br /><br />Barcelona - Regional registration number<br />HUTB-000083,10,0.86
11,80004,Parc Montjuic HUTB-004026 58,431839,Xavier,15.0,15.0,"Barcelona, Spain",t,1.0,t,t,el Poble Sec,Sants-Montjuïc,41.37371,2.16706,Entire rental unit,Entire home/apt,5,1.0,3.0,3.0,"[""Private patio or balcony"", ""Hot water kettle"", ""Dryer"", ""Freezer"", ""Dishes and silverware"", ""Heating"", ""Stove"", ""Hangers"", ""Dishwasher"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Microwave"", ""Elevator"", ""Wifi"", ""Pack \u2019n play/Travel crib"", ""Coffee maker"", ""Shampoo"", ""Cooking basics"", ""Hot water"", ""Washer"", ""Long term stays allowed"", ""Refrigerator"", ""Air conditioning"", ""Host greets you"", ""High chair"", ""Iron"", ""Essentials""]",156.11,7.0,1125.0,1125.0,7.0,1125.0,1,6,16,33,220,18,2,16,252,39340.0,2011-05-24,2026-06-09,4.7,4.78,4.74,4.84,4.88,4.74,4.66,Barcelona - Regional registration number<br />HUTB-004026<br /><br />Spain - National registration number<br />ESFCTU00000806900038622600000000000000HUTB-004026 582,1,1.2
12,89776,Modernist aparment in the heart of the city,3556337,Alejandro,13.0,13.0,"Barcelona, Spain",t,90.0,t,t,la Dreta de l'Eixample,Eixample,41.39224,2.17806,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,"[""Hot water kettle"", ""Freezer"", ""Crib"", ""Dishes and silverware"", ""Pets allowed"", ""Smoke alarm"", ""Heating"", ""Stove"", ""Bed linens"", ""Hangers"", ""Dishwasher"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Toaster"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Microwave"", ""Elevator"", ""Clothing storage"", ""Wifi"", ""Pack \u2019n play/Travel crib"", ""Coffee maker"", ""Shampoo"", ""Wine glasses"", ""Cooking basics"", ""Smart lock"", ""Body soap"", ""Hot water"", ""Refrigerator"", ""Air conditioning"", ""Conditioner"", ""Shower gel"", ""Iron"", ""Self check-in"", ""Essentials"", ""Extra pillows and blankets"", ""Noise decibel monitors on property""]",217.0,2.0,999.0,999.0,3.0,999.0,7,25,47,279,467,52,3,45,255,55335.0,2011-11-10,2026-06-03,4.79,4.86,4.79,4.91,4.92,4.94,4.7,Barcelona - Regional registration number<br />HUTB-002215<br /><br />Spain - National registration number<br />ESFCTU00000805400030100300000000000000HUTB-002215-959,89,2.62
13,110041,002. Alió 2 Apartment,396363,Alcam Apartments,15.0,15.0,"Barcelona, Spain",f,62.0,t,t,el Camp d'en Grassot i Gràcia Nova,Gràcia,41.40271,2.16646,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,"[""Freezer"", ""Oven"", ""Crib"", ""Dishes and silverware"", ""Pets allowed"", ""Heating"", ""Laundromat nearby"", ""Bed linens"", ""Hangers"", ""Electric stove"", ""Kitchen"", ""Patio or balcony"", ""Hair dryer"", ""TV"", ""Dedicated workspace"", ""Baby bath"", ""Microwave"", ""Wifi"", ""Coffee maker"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Smart lock"", ""Hot water"", ""Washer"", ""Refrigerator"", ""Air conditioning"", ""Iron"", ""Pocket wifi"", ""Self check-in"", ""Essentials"", ""Noise decibel monitors on property""]",207.0,1.0,1125.0,1125.0,2.6,1003.2,18,46,76,351,106,14,0,16,84,17388.0,2012-07-16,2026-04-30,4.26,4.42,4.33,4.36,4.49,4.74,4.13,Spain - National registration number<br />ESFCTU000008057000631118000000000000000HUTB-003671797<br /><br />Barcelona - Regional registration number<br />HUTB-003671,42,0.62
14,112538,Design Apartment Sagrada Familia / Shared Terrace,567180,Sandra,15.0,15.0,"Barcelona, Spain",t,6.0,t,t,la Sagrada Família,Eixample,41.40653,2.1746,Entire rental unit,Entire home/apt,8,2.0,3.0,6.0,"[""Free washer \u2013 In unit"", ""Hot water kettle"", ""Coffee maker: espresso machine"", ""Central air conditioning"", ""Freezer"", ""Oven"", ""Clothing storage: closet and dresser"", ""Exercise equipment: elliptical, stationary bike, treadmill, yoga mat"", ""Dishes and silverware"", ""Coffee"", ""Paid parking off premises"", ""First aid kit"", ""Crib - available upon request"", ""Central heating"", ""Smoke alarm"", ""Doorman"", ""Stove"", ""Dining table"", ""Bed linens"", ""Hangers"", ""Dishwasher"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Toaster"", ""Exterior security cameras on property"", ""Housekeeping - available at extra cost"", ""Outdoor dining area"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Bathtub"", ""Microwave"", ""Elevator"", ""Drying rack for clothing"", ""Wifi"", ""Shampoo"", ""Shared patio or balcony"", ""Luggage dropoff allowed"", ""Window guards"", ""Cooking basics"", ""Pack \u2019n play/Travel crib - available upon request"", ""Body soap"", ""Hot water"", ""Fire extinguisher"", ""Long term stays allowed"", ""Refrigerator"", ""Standalone high chair - available upon request"", ""Shower gel"", ""Park view"", ""Iron"", ""Room-darkening shades"", ""Shared gym in building"", ""Pocket wifi"", ""Self check-in"", ""Keypad"", ""Safe"", ""Essentials"", ""Extra pillows and blankets"", ""Outdoor furniture""]",414.0,1.0,100.0,100.0,1.6,67.4,17,47,75,174,161,22,1,13,132,54648.0,2011-06-21,2026-06-15,4.5,4.54,4.59,4.63,4.65,4.87,4.46,Spain - National registration number<br />ESHFTU00000805800052263501800000000000000HUTB-0003296<br /><br />Barcelona - Regional registration number<br />HUTB-000329,6,0.88
15,135513,Apartamento en la Playa de Poble Nou,664196,Teresa,15.0,14.0,"Barcelona, Spain",t,1.0,t,t,el Poblenou,Sant Martí,41.39787,2.20429,Entire rental unit,Entire home/apt,6,1.5,3.0,3.0,"[""Private patio or balcony"", ""Hot water kettle"", ""Private entrance"", ""Central air conditioning"", ""Freezer"", ""Oven"", ""Paid parking garage off premises"", ""Dishes and silverware"", ""Pets allowed"", ""Children\u2019s dinnerware"", ""Coffee"", ""Shared beach access \u2013 Beachfront"", ""Free street parking"", ""Babysitter recommendations"", ""Central heating"", ""Smoke alarm"", ""Laundromat nearby"", ""Dining table"", ""Bed linens"", ""Hangers"", ""Window AC unit"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Toaster"", ""Paid crib - available upon request"", ""Coffee maker: drip coffee maker, espresso machine, Nespresso"", ""Portable fans"", ""Waterfront"", ""Dedicated workspace"", ""Other stainless steel electric stove"", ""Cleaning available during stay"", ""Bathtub"", ""Microwave"", ""Elevator"", ""Drying rack for clothing"", ""Clothing storage: walk-in closet and dresser"", ""Pack \u2019n play/Travel crib"", ""Wifi"", ""Ceiling fan"", ""Luggage dropoff allowed"", ""Ethernet connection"", ""Wine glasses"", ""Blender"", ""Cooking basics"", ""Backyard"", ""Body soap"", ""Hot water"", ""Washer"", ""Long term stays allowed"", ""Refrigerator"", ""Outlet covers"", ""Host greets you"", ""Shower gel"", ""High chair"", ""Cleaning products"", ""Room-darkening shades"", ""Iron"", ""Portable air conditioning"", ""Extra pillows and blankets"", ""Outdoor furniture""]",310.51,1.0,330.0,330.0,1.0,330.0,15,24,54,234,225,37,5,44,222,68933.0,2011-10-05,2026-06-20,4.74,4.8,4.75,4.75,4.85,4.88,4.64,Barcelona - Regional registration number<br />HUTb-005204<br /><br />Spain - National registration number<br />ESFCTU00000807200028027200000000000000000HUTB-0052047,1,1.26
16,136670,"double Room A -UPC, ESADE, Barça, Real Club Tennis",610674,Maria,15.0,15.0,"Barcelona, Spain",t,3.0,t,t,Pedralbes,Les Corts,41.38832,2.12201,Private room in rental unit,Private room,1,1.0,2.0,1.0,"[""Free washer \u2013 In unit"", ""Hot water kettle"", ""Freezer"", ""Oven"", ""Dishes and silverware"", ""Paid parking off premises"", ""Pets allowed"", ""First aid kit"", ""Single level home"", ""Doorman"", ""Heating"", ""Stove"", ""Dining table"", ""Bed linens"", ""Hangers"", ""Dishwasher"", ""Kitchen"", ""Hair dryer"", ""Portable fans"", ""Dedicated workspace"", ""Bathtub"", ""Indoor fireplace: electric"", ""Microwave"", ""Drying rack for clothing"", ""Elevator"", ""Wifi"", ""Bidet"", ""Coffee maker"", ""Ceiling fan"", ""Luggage dropoff allowed"", ""Cooking basics"", ""City skyline view"", ""Hot water"", ""Long term stays allowed"", ""Refrigerator"", ""Host greets you"", ""Shower gel"", ""Clothing storage: closet"", ""Iron"", ""Books and reading material"", ""Essentials"", ""Extra pillows and blankets"", ""Varia body soap""]",51.12,32.0,1125.0,1125.0,32.0,1125.0,28,58,88,363,150,7,0,11,255,13036.0,2011-09-25,2026-05-20,4.64,4.62,4.58,4.81,4.79,4.8,4.63,Barcelona - Regional registration number<br />Exempt - seasonal rental<br /><br />Spain - National registration number<br />ESHFNT00000806000011522900400000000000000000000000008,3,0.84
17,144471,★BEST ZONE★PL.CATALUÑA ★ROOM X 2★BATHROOM +WIFI,700165,Wonderful Barcelona,15.0,15.0,"Colon, Panama",f,1.0,t,t,Sant Antoni,Eixample,41.38189,2.15857,Private room in rental unit,Private room,2,1.0,2.0,1.0,"[""Hot water kettle"", ""Crib"", ""Clothing storage: closet and dresser"", ""Dishes and silverware"", ""First aid kit"", ""Smoke alarm"", ""Heating"", ""Bed linens"", ""Hangers"", ""Portable fans"", ""Elevator"", ""Wifi"", ""Coffee maker"", ""Paid parking on premises"", ""Fire extinguisher"", ""Hot water"", ""Washer"", ""Refrigerator"", ""Air conditioning"", ""Host greets you"", ""Iron"", ""Room-darkening shades"", ""Essentials""]",131.0,3.0,365.0,365.0,3.0,365.0,23,53,61,61,55,14,3,1,84,11004.0,2011-07-04,2026-06-13,4.33,4.12,4.55,4.15,4.54,4.68,4.06,Sin licencia registrada,1,0.3
18,144801,Penthouse near Picasso Museum,701493,Isabel,15.0,15.0,"Zaragoza, Spain",t,2.0,t,t,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,41.38516,2.17945,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Hot water kettle"", ""Freezer"", ""Dishes and silverware"", ""Paid parking off premises"", ""Pets allowed"", ""Smoke alarm"", ""Heating"", ""Stove"", ""Dining table"", ""Bed linens"", ""Hangers"", ""Patio or balcony"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Toaster"", ""Portable fans"", ""Outdoor dining area"", ""Carbon monoxide alarm"", ""Microwave"", ""Drying rack for clothing"", ""Wifi"", ""Coffee maker"", ""Ceiling fan"", ""Wine glasses"", ""Cooking basics"", ""City skyline view"", ""Hot water"", ""Washer"", ""Long term stays allowed"", ""Refrigerator"", ""Air conditioning"", ""Host greets you"", ""Clothing storage: closet"", ""Cleaning products"", ""Room-darkening shades"", ""Iron"", ""Essentials"", ""Extra pillows and blankets"", ""Outdoor furniture""]",59.59,32.0,360.0,360.0,32.0,360.0,2,2,3,83,50,0,0,0,0,0.0,2011-10-10,2023-12-04,4.75,4.79,4.6,4.83,4.86,4.81,4.67,Spain - National registration number<br />ESFCNT00000805400000857500000000000000000000000000001<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental,1,0.28
19,147275,1 Room INDIVIDUAL in Barcelona,711907,Antuan,15.0,15.0,"Barcelona, Spain",t,1.0,t,t,el Guinardó,Horta-Guinardó,41.42337,2.1749,Private room in rental unit,Private room,1,1.0,2.0,1.0,"[""Gas stove"", ""Freezer"", ""Dishes and silverware"", ""Paid parking off premises"", ""Free street parking"", ""First aid kit"", ""Smoke alarm"", ""Portable heater"", ""Laundromat nearby"", ""Bed linens"", ""Hangers"", ""Kitchen"", ""Waterfront"", ""Portable fans"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Bathtub"", ""Microwave"", ""Elevator"", ""Drying rack for clothing"", ""Wifi"", ""Coffee maker"", ""Shared beach access"", ""Shared patio or balcony"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Fire extinguisher"", ""Hot water"", ""Washer"", ""Long term stays allowed"", ""Refrigerator"", ""Host greets you"", ""Clothing storage: closet"", ""Smoking allowed"", ""Outdoor playground"", ""Pocket wifi"", ""Books and reading material"", ""Essentials"", ""Extra pillows and blankets"", ""Bidet""]",16.92,31.0,1125.0,1125.0,31.0,1125.0,16,25,25,226,136,3,0,4,186,3147.0,2015-05-14,2025-11-06,4.27,4.53,4.21,4.74,4.55,4.6,4.38,Spain - National registration number<br />Exempt - tourist apartment<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental,1,1.0
